进攻突破率,数据源数,候选数范围,防守队伍构成
7.1%,2,56~56,黄骑 春剑 魔驴 蚊子 els
10.7%,1,56~56,跳跳虎 水电 魔驴 水m 水多娜
14.3%,2,56~56,布丁 黄骑 魔驴 蚊子 水多娜
16.1%,2,56~56,跳跳虎 布丁 路人妹 水m 菲欧
16.1%,1,56~56,跳跳虎 布丁 水星 512 els
19.6%,1,56~56,跳跳虎 黄骑 路人妹 星怜 els
22.3%,2,56~56,羊驼 水星 爱梅斯 水emt 礼千
23.2%,1,56~56,跳跳虎 布丁 圣伊 水m 紫罗兰
23.2%,1,56~56,水星 蚊子 水m 水emt 水多娜
25.0%,1,56~56,跳跳虎 布丁 雪哥 鬼裁 蚊子
26.8%,1,56~56,跳跳虎 布丁 瓜眼 水星 蚊子
26.8%,1,56~56,布丁 路人妹 春剑 蚊子 爱梅斯
26.8%,1,56~56,黄骑 羊驼 路人妹 圣伊 菲欧
28.6%,1,56~56,老师 龙锤 水电 吹雪 梦狐
30.4%,1,56~56,春剑 水m els 水emt 水多娜
30.4%,1,56~56,圣伊 魔驴 水星 水m 水emt
31.2%,2,56~56,圣伊 蚊子 水emt 紫罗兰 火机
32.1%,1,56~56,跳跳虎 黄骑 爱梅斯 猪妹 水多娜
32.1%,1,56~56,布丁 路人妹 蚊子 黑老师 els
32.1%,1,56~56,路人妹 春剑 蚊子 水emt 水多娜
33.0%,2,56~56,黄骑 空花 魔栞 蚊子 水emt
33.9%,1,56~56,瓜眼 雷姆 水电 水emt 水多娜
33.9%,1,56~56,春剑 蚊子 爱梅斯 紫罗兰 光裁
35.7%,1,56~56,女仆 路人妹 圣望 圣伊 菲欧
35.7%,1,56~56,黄骑 路人妹 春剑 魔栞 火机
37.5%,1,56~56,老师 春剑 魔驴 els 苑
42.9%,1,56~56,春剑 舞铃 涅妃 水蕾姆 小凤
42.9%,1,56~56,魔驴 水星 礼伊 水m 水emt
46.4%,1,56~56,雪哥 路人妹 春剑 圣望 魔驴
50.0%,1,56~56,雪哥 黄骑 雷姆 魔栞 蚊子
53.6%,1,56~56,黄骑 蚊子 爱梅斯 紫罗兰 光裁
53.6%,1,56~56,春女仆 琳德 水emt 菲欧 礼千
55.4%,1,56~56,驴 春剑 els 水多娜 原花
57.1%,1,56~56,老师 黄骑 毛二力 蚊子 紫罗兰
60.7%,1,56~56,雪哥 充电宝 羊驼 雷姆 魔驴
