进攻方胜率,被模拟次数,防守队伍构成
10.3%,68,105501 108901 112201 118601 129001
13.2%,68,100501 100701 118601 123301 129001
18.1%,204,100701 103401 112301 118601 131901
19.1%,68,100501 100701 108901 118601 132001
20.6%,68,100701 112301 123301 126101 127001
21.1%,204,100801 112201 113401 132001 134401
22.1%,136,100501 102501 103301 106001 110301
22.1%,68,100701 108901 113401 118601 128801
22.1%,68,100801 101101 103401 106001 106601
22.1%,68,103401 105501 108901 112201 123001
22.1%,68,105401 105501 129001 131901 134001
29.4%,68,110301 113401 127001 131901 132001
60.3%,68,100801 108301 110301 112701 134501
