进攻突破率,数据源数,候选数范围,防守队伍构成
6.9%,1,72~72,春剑 魔驴 蚊子 els 火机
11.1%,1,72~72,跳跳虎 春剑 蚊子 els 水emt
11.1%,1,72~72,布丁 黄骑 路人妹 蚊子 爱梅斯
16.7%,1,72~72,布丁 春剑 魔驴 蚊子 礼千
16.7%,1,72~72,黄骑 蚊子 水多娜 紫罗兰 火机
17.4%,2,72~72,布丁 春剑 蚊子 爱梅斯 史莱姆
18.1%,1,72~72,跳跳虎 布丁 春剑 蚊子 els
18.1%,6,72~72,布丁 裁缝 蚊子 水emt 菲欧
20.8%,1,72~72,布丁 黄骑 水星 蚊子 爱梅斯
20.8%,2,72~72,布丁 春剑 蚊子 els 水多娜
21.8%,3,72~72,布丁 圣伊 蚊子 els 花女仆
22.2%,1,72~72,跳跳虎 春剑 圣望 水m els
22.2%,1,72~72,跳跳虎 春剑 魔驴 蚊子 水多娜
22.2%,1,72~72,雪哥 黄骑 圣伊 水emt 水多娜
22.2%,1,72~72,圣望 圣伊 蚊子 水m 水多娜
25.0%,1,72~72,布丁 路人妹 蚊子 els 水涅亚
26.4%,1,72~72,跳跳虎 布丁 黄骑 路人妹 蚊子
26.4%,1,72~72,春剑 els 水emt 水多娜 菲欧
27.8%,1,72~72,驴 水电 春女仆 魔驴 水星
27.8%,1,72~72,老师 春剑 魔驴 els sms
30.6%,1,72~72,路人妹 圣望 圣伊 512 蚊子
30.6%,1,72~72,春剑 魔驴 魔栞 蚊子 水emt
31.9%,1,72~72,黄骑 春剑 魔驴 礼千 火机
31.9%,1,72~72,春剑 魔驴 蚊子 水emt 水多娜
33.3%,1,72~72,雪哥 驴 春女仆 魔驴 蚊子
33.3%,1,72~72,春剑 圣伊 魔驴 蚊子 水emt
33.3%,1,72~72,情姐 水老师 圣伊 蚊子 圣吃
34.7%,1,72~72,跳跳虎 瓜眼 水电 水星 水emt
37.5%,1,72~72,妹弓 水星 猫咖 水emt 原花
38.9%,1,72~72,黄骑 路人妹 春剑 魔栞 火机
38.9%,1,72~72,春剑 水星 蚊子 史莱姆 水emt
40.3%,1,72~72,奶牛 路人妹 水电 水多娜 紫罗兰
40.3%,1,72~72,情病 圣望 魔驴 琳德 els
50.0%,1,72~72,黄骑 春剑 水老师 蚊子 库露露
