进攻突破率,数据源数,候选数范围,防守队伍构成
8.3%,1,72~72,布丁 春剑 水星 蚊子 爱梅斯
18.1%,1,72~72,跳跳虎 圣伊 魔驴 蚊子 星怜
18.8%,2,72~72,妹弓 黑姐 水m 水emt 水多娜
19.4%,1,72~72,春剑 蚊子 els 紫罗兰 火机
22.2%,1,72~72,布丁 空花 春剑 蚊子 els
22.2%,1,72~72,路人妹 春剑 蚊子 els 紫罗兰
26.4%,1,72~72,黄骑 路人妹 春剑 爱梅斯 els
26.4%,1,72~72,黄骑 路人妹 爱梅斯 水m 水emt
29.2%,1,72~72,跳跳虎 布丁 春剑 魔驴 蚊子
29.2%,1,72~72,春剑 魔驴 魔栞 蚊子 水emt
29.2%,1,72~72,圣伊 蚊子 水emt 紫罗兰 火机
33.3%,1,72~72,奶牛 路人妹 水电 魔驴 圣吃
34.7%,1,72~72,布丁 黄骑 春剑 els 礼千
34.7%,1,72~72,瓜眼 水电 水星 库露露 梦狐
40.3%,1,72~72,跳跳虎 路人妹 黑猫 水电 水星
