进攻方胜率,被模拟次数,防守队伍构成
10.7%,150,108901 103401 131901 129001 118601
15.3%,536,100701 127001 132001 129001 118601
19.3%,83,100701 100501 123301 129001 118601
22.7%,132,103401 110301 107001 129301 111001
25.0%,264,103401 110301 107001 111001 111101
25.8%,132,104501 105401 105501 120001 134001
25.8%,132,100701 101401 105501 131701 131901
27.0%,330,108901 103401 130801 123001 134001
28.0%,164,105201 101401 112201 134001 134401
28.9%,142,108901 103401 110101 123001 118601
32.2%,264,100501 113401 110301 131901 108301
34.8%,132,103301 110301 113401 118601 124501
35.3%,17,108901 103401 112201 123001 118601
36.8%,87,103401 105501 112201 134001 118501
40.9%,22,108901 103401 112201 129001 118601
42.6%,115,100501 103301 110301 102501 106001
44.3%,646,103301 113401 110301 124501 108301
45.0%,40,100501 103301 131901 132001 118601
46.6%,131,100701 103401 112301 131901 118601
48.3%,118,113401 112201 134401 132001 100801
50.0%,24,100701 127001 100501 105501 134001
50.8%,128,108901 105501 131901 112201 131701
52.2%,23,108901 103401 101401 129001 118601
53.3%,45,108901 120001 104901 105501 129001
60.8%,102,120001 109701 101101 106001 132001
66.7%,24,108901 103401 134501 132001 118601
