进攻突破率,数据源数,候选数范围,防守队伍构成
7.5%,3,62~62,春剑 蚊子 水m sls 水扇
11.3%,1,62~62,裁缝 春剑 爱梅斯 水m sls
14.3%,1,56~56,春剑 蚊子 爱梅斯 水emt 水多娜
15.0%,13,56~62,跳跳虎 蚊子 水emt sls 诗夏
15.2%,2,56~56,布丁 魔驴 水星 蚊子 水emt
17.9%,1,56~56,布丁 狼布丁 魔驴 蚊子 水m
19.4%,2,62~62,布丁 瓜松 水多娜 紫罗兰 sls
23.4%,2,62~62,布丁 春剑 蚊子 爱梅斯 水m
25.0%,2,56~56,布丁 黄骑 水星 蚊子 爱梅斯
26.6%,2,62~62,春剑 els 库露露 水多娜 sls
32.3%,1,62~62,黄骑 水吃 蚊子 爱梅斯 水m
42.9%,1,56~56,布丁 老师 充电宝 奶牛 普白
50.9%,2,56~56,布丁 妹弓 奶牛 空花 深月
60.7%,1,56~56,布丁 星法 姐法 女仆 羊驼
60.7%,2,56~56,布丁 充电宝 黄骑 yly 毛二力
62.5%,1,56~56,布丁 星法 老师 偶像 毛二力
64.3%,1,56~56,布丁 暴击弓 姐法 栞 千歌
69.6%,1,56~56,剑圣 雪哥 忍 空花 黑猫
69.6%,1,56~56,布丁 狗拳 哈哈剑 猫剑 黑猫
