进攻突破率,数据源数,候选数范围,防守队伍构成
11.1%,1,72~72,布丁 黄骑 魔驴 蚊子 水多娜
13.4%,3,72~72,驴 春剑 魔驴 爱梅斯 els
13.9%,1,72~72,跳跳虎 布丁 雪哥 奶牛 春剑
13.9%,1,72~72,跳跳虎 春剑 魔驴 蚊子 水多娜
15.3%,1,72~72,布丁 黄骑 蚊子 水emt 火机
16.7%,1,72~72,布丁 蚊子 els 水emt 小凤
16.7%,1,72~72,女仆 圣伊 魔驴 蚊子 水多娜
19.4%,2,72~72,黄骑 路人妹 蚊子 水m 水emt
21.3%,3,72~72,布丁 黄骑 魔栞 蚊子 水emt
22.2%,1,72~72,跳跳虎 雪哥 驴 黄骑 火机
22.2%,1,72~72,黄骑 春剑 爱梅斯 水emt 小凤
22.7%,6,72~72,春剑 魔驴 魔栞 蚊子 水emt
23.6%,1,72~72,路人妹 圣望 魔驴 蚊子 水m
25.0%,1,72~72,圣望 蚊子 水emt 水多娜 紫罗兰
26.4%,1,72~72,圣伊 蚊子 水emt 紫罗兰 火机
27.8%,2,72~72,雪哥 妹弓 黄骑 黑猫 龙锤
27.8%,1,72~72,妹弓 黄骑 蚊子 爱梅斯 紫罗兰
27.8%,1,72~72,黄骑 圣伊 魔驴 els 水emt
30.6%,1,72~72,圣伊 魔驴 水星 水m 水emt
33.3%,1,72~72,春剑 魔驴 水m 水emt 火机
36.1%,1,72~72,雪哥 奶牛 黄骑 拉姆 蚊子
41.1%,1,56~56,布丁 黄骑 春剑 els 礼千
41.2%,3,72~72,跳跳虎 雪哥 瓜眼 紫罗兰 美杜莎
41.7%,1,72~72,春剑 els 若菜 水emt 水多娜
43.1%,1,72~72,雪哥 春剑 圣望 魔驴 琉璃
47.2%,1,72~72,女仆 路人妹 圣望 圣伊 菲欧
