进攻突破率,数据源数,候选数范围,防守队伍构成
8.9%,1,56~56,黄骑 春剑 魔驴 蚊子 els
9.8%,2,56~56,跳跳虎 春剑 魔驴 蚊子 els
17.9%,1,56~56,跳跳虎 布丁 路人妹 水m 菲欧
17.9%,1,56~56,黄骑 路人妹 圣望 圣伊 蚊子
20.8%,6,56~56,雪哥 黄骑 春剑 魔栞 蚊子
25.0%,1,56~56,跳跳虎 布丁 瓜眼 水星 蚊子
25.0%,1,56~56,雪哥 羊驼 圣伊 水星 水emt
26.8%,3,56~56,跳跳虎 布丁 水星 512 els
30.4%,1,56~56,布丁 黄骑 蚊子 水多娜 礼千
30.4%,1,56~56,雪哥 圣伊 魔驴 水星 礼千
32.7%,3,56~56,黄骑 空花 魔栞 蚊子 水emt
33.2%,5,56~56,布丁 妹弓 黑猫 水老师 水m
33.9%,2,56~56,女仆 路人妹 圣望 圣伊 菲欧
36.6%,6,56~56,圣伊 爱梅斯 els 水emt 菲欧
39.3%,1,56~56,春剑 圣伊 魔驴 蚊子 紫罗兰
42.9%,1,56~56,空花 裁缝 魔栞 水星 菲欧
42.9%,1,56~56,圣望 魔驴 蚊子 水m 库露露
48.2%,1,56~56,黄骑 春剑 魔驴 礼千 火机
