进攻突破率,数据源数,候选数范围,防守队伍构成
8.3%,1,72~72,路人妹 春剑 蚊子 els 水emt
11.8%,2,72~72,春剑 蚊子 els 水emt 紫罗兰
15.3%,1,72~72,跳跳虎 妹弓 黄骑 黑猫 蚊子
15.3%,1,72~72,裁缝 路人妹 蚊子 水emt 菲欧
15.3%,1,72~72,路人妹 春剑 蚊子 爱梅斯 水emt
18.1%,1,72~72,春剑 蚊子 els 紫罗兰 火机
20.8%,1,72~72,跳跳虎 春剑 魔栞 蚊子 水emt
20.8%,1,72~72,老师 黄骑 水m els 花女仆
29.2%,1,72~72,跳跳虎 偶像 圣伊 蚊子 水emt
29.2%,1,72~72,跳跳虎 春剑 圣伊 蚊子 水emt
31.9%,1,72~72,黄骑 路人妹 春剑 圣望 火机
31.9%,1,72~72,春剑 水星 蚊子 水emt 紫罗兰
33.3%,2,72~72,圣伊 蚊子 水emt 紫罗兰 火机
36.1%,1,72~72,雪哥 圣伊 魔驴 蚊子 星怜
37.5%,1,72~72,布丁 黄骑 春剑 els 礼千
40.3%,1,72~72,春剑 水星 蚊子 史莱姆 水emt
43.1%,1,72~72,瓜眼 魔驴 武松 礼千 火机
48.6%,1,72~72,跳跳虎 黄骑 黑猫 蚊子 水田
50.0%,1,72~72,琳德 水emt 原花 礼兰法 礼千
59.7%,1,72~72,黄骑 春剑 魔姬 els 礼千
