进攻突破率,数据源数,候选数范围,防守队伍构成
6.9%,1,72~72,路人妹 春剑 蚊子 水m els
8.3%,2,72~72,春剑 魔驴 蚊子 水m els
12.5%,1,72~72,布丁 魔驴 蚊子 水emt 水多娜
15.3%,1,72~72,跳跳虎 春剑 蚊子 水emt 火机
15.3%,1,72~72,布丁 春剑 蚊子 els 水多娜
16.7%,1,72~72,静流 圣望 圣伊 魔驴 爱梅斯
18.1%,3,72~72,跳跳虎 春剑 圣望 水m els
18.1%,1,72~72,布丁 春剑 魔驴 水星 蚊子
18.8%,2,72~72,雪哥 黄骑 春剑 魔栞 蚊子
20.8%,1,72~72,布丁 圣伊 魔驴 魔栞 水m
20.8%,1,72~72,瓜眼 水电 水星 花女仆 梦狐
22.2%,1,72~72,黄骑 路人妹 爱梅斯 水m 水emt
22.2%,1,72~72,春剑 魔驴 水星 蚊子 紫罗兰
25.0%,2,72~72,布丁 魔驴 蚊子 水m 紫罗兰
26.4%,5,72~72,黄骑 魔驴 魔栞 蚊子 紫罗兰
27.8%,1,72~72,妹弓 圣望 魔驴 水星 蚊子
27.8%,1,72~72,瓜眼 水星 蚊子 水m els
30.6%,1,72~72,圣伊 蚊子 水emt 紫罗兰 火机
38.9%,1,72~72,黄骑 水emt 水多娜 紫罗兰 礼千
41.7%,1,72~72,路人妹 圣望 圣伊 魔驴 魔栞
44.4%,3,72~72,布丁 爱梅斯 水多娜 菲欧 火机
52.1%,2,72~72,路人妹 els 银莲 紫罗兰 菲欧
