进攻突破率,数据源数,候选数范围,防守队伍构成
8.2%,2,61~61,跳跳虎 水emt 水多娜 火机 sls
9.8%,1,61~61,跳跳虎 水女仆 水emt 水多娜 sls
13.9%,2,61~61,黄骑 春剑 蚊子 els 水emt
14.8%,1,61~61,路人妹 春剑 水m 水多娜 sls
16.4%,1,61~61,黄骑 圣伊 水emt 水多娜 礼千
18.0%,1,61~61,黄骑 水星 水多娜 紫罗兰 sls
18.6%,3,61~61,空花 瓜松 水多娜 紫罗兰 sls
19.7%,1,61~61,布丁 雪哥 春剑 蚊子 水emt
19.7%,1,61~61,布丁 瓜松 水多娜 紫罗兰 sls
23.0%,1,61~61,妹弓 黄骑 蚊子 水m 水emt
23.0%,1,61~61,空花 路人妹 紫罗兰 菲欧 sls
27.9%,1,61~61,布丁 春剑 蚊子 水emt 水菲
31.1%,1,61~61,布丁 空花 蚊子 爱梅斯 els
32.8%,2,61~61,跳跳虎 春剑 蚊子 水emt 水菲
32.8%,1,61~61,黄骑 蚊子 史莱姆 水emt sls
57.4%,1,61~61,水女仆 龙女 爱梅斯 水emt sls
59.0%,1,61~61,子龙 裁缝 舞铃 els 涅妃
63.9%,1,61~61,跳跳虎 黄骑 春田 春剑 水银
