进攻突破率,数据源数,候选数范围,防守队伍构成
9.4%,1,64~64,春剑 黑姐 静流 路人妹 els
10.9%,1,64~64,跳跳虎 奶牛 水emt 水多娜 蚊子
14.1%,1,64~64,水m 春剑 火机 菲欧 蚊子
14.3%,3,64~68,布丁 春剑 水emt 菲欧 蚊子
14.7%,1,68~68,跳跳虎 黄骑 妹弓 黑猫 蚊子
14.8%,1,61~61,布丁 水m 跳跳虎 路人妹 菲欧
15.6%,1,64~64,水电 梦狐 老师 水老师 瓜眼
17.2%,1,64~64,跳跳虎 黄骑 魔栞 雪哥 蚊子
17.6%,1,68~68,布丁 春剑 水星 水emt 蚊子
19.4%,1,62~62,布丁 黑姐 裁缝 路人妹 菲欧
20.3%,1,64~64,水m 黄骑 妹弓 水emt 蚊子
26.5%,4,68~68,水m 春剑 路人妹 爱梅斯 菲欧
26.6%,1,64~64,春剑 黄骑 霸瞳 水emt 蚊子
31.5%,5,68~68,布丁 跳跳虎 小凤 雪哥 瓜眼
32.4%,1,68~68,水m 春剑 水星 水emt 蚊子
35.9%,1,64~64,黑姐 拉姆 水电 水多娜 蚊子
36.8%,5,68~68,黑姐 吹雪 水电 女仆 els
59.4%,1,64~64,黑姐 铃铛 拉姆 水多娜 蚊子
