进攻突破率,数据源数,候选数范围,防守队伍构成
8.9%,1,56~56,布丁 春剑 魔驴 蚊子 els
10.7%,1,56~56,跳跳虎 春剑 蚊子 els 水emt
14.3%,1,56~56,圣伊 魔驴 蚊子 els 库露露
16.1%,1,56~56,驴 羊驼 魔驴 菲欧 礼千
19.6%,1,56~56,布丁 蚊子 els 水emt 小凤
21.4%,1,56~56,布丁 黄骑 蚊子 水emt 火机
25.0%,1,56~56,圣伊 魔驴 蚊子 花女仆 库露露
25.4%,4,56~56,布丁 黄骑 路人妹 爱梅斯 星怜
26.2%,3,56~56,布丁 静流 春剑 猪妹 els
30.4%,1,56~56,雪哥 蚊子 水m els 水emt
30.4%,1,56~56,圣伊 水星 蚊子 els 库露露
32.1%,1,56~56,雪哥 黄骑 水m els 水多娜
32.1%,1,56~56,老师 魔驴 els 水emt 礼千
32.1%,1,56~56,瓜眼 水星 蚊子 水m els
35.7%,1,56~56,黄骑 魔驴 蚊子 水emt 礼千
37.5%,1,56~56,跳跳虎 黄骑 爱梅斯 猪妹 水多娜
37.5%,1,56~56,黄骑 拉姆 圣伊 蚊子 苑
37.5%,1,56~56,圣伊 蚊子 库露露 水emt 紫罗兰
38.4%,2,56~56,布丁 黄骑 毛二力 路人妹 爱梅斯
39.3%,1,56~56,布丁 路人妹 春剑 蚊子 爱梅斯
39.3%,1,56~56,黄骑 路人妹 春剑 圣望 火机
41.1%,1,56~56,春剑 圣伊 魔驴 蚊子 紫罗兰
